location,Basilea,Basilea,Basilea
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected]
20230519T0000,16.360247,9.320246,13.554413
20230520T0000,18.780245,11.830245,15.25233
20230521T0000,24.410246,12.220245,18.15983
20230522T0000,26.090246,13.980246,19.96816
20230523T0000,21.390245,14.600245,18.21066
20230524T0000,16.740246,10.470245,13.830246
20230525T0000,20.640245,9.820246,15.388995
20230526T0000,24.250246,10.700245,17.912329
20230527T0000,25.860245,11.180245,18.707743
20230528T0000,26.140245,10.390245,18.825663
20230529T0000,26.910246,10.110246,19.314827
20230530T0000,25.610245,11.890245,19.238993
20230531T0000,26.990246,12.250245,19.758993
20230601T0000,27.310246,11.660245,20.31566
20230602T0000,26.290245,14.450245,20.111494
20230603T0000,26.780245,12.240245,20.068161
20230604T0000,26.700245,12.840245,19.568165
20230605T0000,27.210245,11.820246,20.510662
20230606T0000,27.190245,12.360246,20.765245
20230607T0000,27.410246,12.700245,20.488997
20230608T0000,28.320246,12.690246,20.992744
20230609T0000,29.600245,13.270246,22.268164
20230610T0000,29.560246,15.570246,23.356497
20230611T0000,29.630245,16.380245,23.550665
20230612T0000,29.810246,14.140245,23.06733
20230613T0000,28.490246,13.630245,21.41108
20230614T0000,27.850245,10.720245,20.875244
20230615T0000,27.690245,13.880245,21.235247
20230616T0000,28.270245,13.5602455,22.048578
20230617T0000,29.980246,11.790245,22.598997
20230618T0000,31.300245,15.240245,23.71691
20230619T0000,30.490246,19.390245,24.574411
20230620T0000,32.320248,19.090246,24.676079
20230621T0000,27.750246,20.120245,23.257746
20230622T0000,29.430244,18.310246,22.371912
20230623T0000,25.960245,17.220245,21.162746
20230624T0000,28.920246,13.080245,22.024412
20230625T0000,31.290245,13.520246,23.456495
20230626T0000,30.340246,17.060246,23.904413
20230627T0000,25.740246,15.630245,20.570244
20230628T0000,27.560246,14.680245,20.96066
20230629T0000,28.130245,14.860246,22.76358
20230630T0000,20.890245,17.020245,19.411077
20230701T0000,23.120245,15.830245,19.341911
20230702T0000,24.670246,16.870245,20.368578
20230703T0000,24.360245,16.640245,20.583992
20230704T0000,26.030245,16.920246,21.612741
20230705T0000,23.410246,17.520245,20.044828
20230706T0000,27.540245,13.980246,20.814829
20230707T0000,32.560246,13.100245,23.802748
20230708T0000,31.450245,19.660246,24.362741
20230709T0000,35.510246,18.010244,27.427744
20230710T0000,32.150246,21.350245,26.216913
20230711T0000,36.150246,19.680244,27.513163
20230712T0000,26.920246,19.590246,23.318163
20230713T0000,26.700245,16.630245,21.90566
20230714T0000,30.900246,13.550245,22.642746
20230715T0000,32.990246,17.840246,25.449408
20230716T0000,25.050245,16.970245,20.733994
20230717T0000,26.930244,18.890245,22.74566
20230718T0000,27.540245,15.950245,22.256498
20230719T0000,29.590246,19.880245,24.682327
20230720T0000,27.080246,16.990246,22.281914
20230721T0000,24.240246,15.440246,20.118162
20230722T0000,27.160246,13.700245,21.210663
20230723T0000,28.890245,14.260245,22.398163
20230724T0000,23.390245,17.740246,20.258581
20230725T0000,20.710245,14.320246,17.608164
20230726T0000,20.580246,12.670245,16.20983
20230727T0000,25.820246,12.350245,19.253996
20230728T0000,25.320246,16.550245,20.747332
20230729T0000,26.050245,17.820246,21.036081
20230730T0000,24.400246,14.910245,20.285662
20230731T0000,25.330246,12.580245,19.810244
20230801T0000,21.450245,15.550245,19.237745
20230802T0000,27.630245,15.180245,20.96816
20230803T0000,23.210245,15.200245,19.720245
20230804T0000,19.690245,14.830245,17.291912
20230805T0000,22.560246,13.850245,18.041079
20230806T0000,17.400246,13.630245,15.129829
20230807T0000,19.370245,11.720245,15.161912
20230808T0000,22.690245,9.080245,16.908995
20230809T0000,23.950245,14.550245,19.067745
20230810T0000,28.430244,13.530245,21.135658
20230811T0000,31.960245,14.080245,23.43191
20230812T0000,28.960245,18.780245,23.780243
20230813T0000,29.670246,19.370245,23.951498
20230814T0000,31.200245,19.620245,25.37233
20230815T0000,30.750246,19.930244,24.833998
20230816T0000,32.450245,17.450245,24.743158
20230817T0000,29.850245,18.320246,23.941496
20230818T0000,34.440247,17.570246,25.529413
20230819T0000,34.68025,18.580246,26.698992
20230820T0000,34.660248,19.310246,27.033579
20230821T0000,35.280247,21.500246,28.021498
20230822T0000,35.190247,20.840246,27.767326
20230823T0000,33.850246,21.300245,26.836912
20230824T0000,35.900246,19.540245,26.333578
20230825T0000,26.840246,20.270245,23.069826
20230826T0000,20.790245,17.180244,19.20858
20230827T0000,19.390245,15.260245,17.139412
20230828T0000,16.000246,12.880245,14.41233
20230829T0000,16.620245,12.370245,14.586913
20230830T0000,20.790245,11.850245,16.351494
20230831T0000,19.980246,13.820246,17.018991
20230901T0000,25.760244,15.550245,19.956913
20230902T0000,28.960245,13.540245,20.849413
20230903T0000,28.280245,14.230246,21.100246
20230904T0000,30.360245,14.700245,22.124413
20230905T0000,30.080246,14.970245,22.245245
20230906T0000,29.550245,13.610246,21.596495
20230907T0000,30.870245,15.590245,22.943163
20230908T0000,31.820246,16.140245,23.927328
20230909T0000,32.190247,16.980246,24.248163
20230910T0000,32.84025,16.590246,24.024414
20230911T0000,33.27025,15.900246,24.239828
20230912T0000,31.630245,17.400246,24.082329
20230913T0000,23.400246,17.860245,19.95066
20230914T0000,24.170246,15.710245,19.488995
20230915T0000,26.240246,14.930245,19.786493
20230916T0000,27.270245,14.740245,20.770662
20230917T0000,29.660246,16.400246,22.345663
20230918T0000,22.670246,18.090246,19.609827
20230919T0000,23.480246,13.720245,19.096079
20230920T0000,26.460245,10.920245,18.373163
20230921T0000,25.090246,14.370245,19.362331
20230922T0000,20.220245,12.680245,15.756495
20230923T0000,18.200245,10.230246,13.906077
20230924T0000,20.640245,8.690246,13.6781645
20230925T0000,22.010244,7.0802455,14.036079
20230926T0000,24.200245,8.360246,15.061078
20230927T0000,24.980246,8.980246,16.001911
20230928T0000,27.120245,11.650246,18.395243
20230929T0000,26.030245,11.910245,18.733162
20230930T0000,22.350245,12.650246,17.465246
20231001T0000,25.220245,9.100245,16.797327
20231002T0000,27.850245,10.640245,18.138163
20231003T0000,25.610245,13.190246,18.369827
20231004T0000,19.920246,9.690246,14.619414
20231005T0000,19.620245,8.150246,13.091079
20231006T0000,21.760244,5.690245,12.861496
20231007T0000,24.240246,5.9902453,13.943165
20231008T0000,27.040245,9.170245,16.79608
20231009T0000,26.820246,11.120245,18.156076
20231010T0000,26.010244,11.100245,17.12983
20231011T0000,26.490246,9.680245,17.33608
20231012T0000,26.470245,12.380245,18.682325
20231013T0000,28.120245,12.050245,20.153162
20231014T0000,22.030245,10.270246,15.990246
20231015T0000,13.3102455,5.0602455,10.143578
20231016T0000,14.510245,2.6502452,7.758995
20231017T0000,15.250245,3.5302453,8.494828
20231018T0000,13.250245,7.2802453,10.621079
20231019T0000,16.810246,11.860246,14.2773285
20231020T0000,15.840245,12.950245,14.616494
20231021T0000,18.000246,10.300245,14.374828
20231022T0000,16.970245,8.330246,11.761912
20231023T0000,14.030245,6.8002453,10.124413
20231024T0000,14.120245,9.430245,11.668995
20231025T0000,15.150246,8.440246,12.252328
20231026T0000,16.170246,10.570246,12.875245
20231027T0000,14.580245,10.300245,11.898579
20231028T0000,16.320246,10.710245,13.012328
20231029T0000,16.910246,9.600245,12.981496
20231030T0000,14.690246,8.250245,11.674413
20231031T0000,13.410245,9.670245,11.42233
20231101T0000,13.780245,6.3202453,9.828578
20231102T0000,11.040245,6.500245,9.228162
20231103T0000,10.030245,6.0302453,7.871078
20231104T0000,11.840245,7.020245,9.043578
20231105T0000,12.960245,10.680245,11.759828
20231106T0000,12.830245,8.330246,10.674412
20231107T0000,10.150246,5.1602454,8.181911
20231108T0000,12.380245,3.6902456,7.207745
20231109T0000,10.380245,3.7702456,7.975662
20231110T0000,10.670245,7.960245,9.061079
20231111T0000,8.660245,4.130245,7.162745
20231112T0000,11.380245,2.1402454,6.1202455
20231113T0000,16.180246,11.8102455,14.405247
20231114T0000,15.080245,10.360246,11.958579
20231115T0000,11.650246,7.1602454,10.136495
20231116T0000,12.210245,5.230245,8.649829
20231117T0000,9.050245,4.8902454,7.3269124
20231118T0000,9.620245,3.2702456,6.442745
20231119T0000,14.790245,10.280245,12.946495
20231120T0000,12.870245,9.370245,11.129413
20231121T0000,9.890245,7.4502454,8.481495
20231122T0000,7.290245,1.3602455,4.5706615
20231123T0000,7.860245,0.23024541,4.004829
20231124T0000,8.990245,4.0602455,6.8923287
20231125T0000,5.130245,1.9902455,3.5006616
20231126T0000,5.3402452,0.100245416,3.1535788
20231127T0000,5.6002455,0.5702454,3.3239949
20231128T0000,6.5802455,1.1602454,4.111495
20231129T0000,5.8702455,0.1202454,1.9914951
20231130T0000,2.9802456,0.9802454,2.0998285
20231201T0000,3.3102455,1.4402454,2.5689955
20231202T0000,1.4102454,-1.1797546,-0.051837947
20231203T0000,0.7302454,-5.1997547,-2.4855878
20231204T0000,3.1902456,-3.8397546,-0.28308776
20231205T0000,6.9702454,4.110245,5.426912
20231206T0000,6.0802455,2.2102454,4.662745
20231207T0000,3.5602455,0.100245416,1.6931621
20231208T0000,7.6602454,2.1702454,5.5644116
20231209T0000,10.330245,6.0802455,7.8202457
20231210T0000,11.470245,8.620245,9.855663
20231211T0000,12.090245,9.320246,11.240663
20231212T0000,13.500245,9.070246,11.122329
20231213T0000,10.010245,6.8402452,8.594412
20231214T0000,8.770246,5.190245,7.230245
20231215T0000,8.260245,2.7602453,5.502329
20231216T0000,6.290245,0.23024541,2.865245
20231217T0000,6.0502453,-0.5397546,1.6864953
20231218T0000,9.000245,-0.2697546,2.6802454
20231219T0000,6.5502453,0.8102454,3.403162
20231220T0000,6.8102455,4.7802453,5.8435783
20231221T0000,10.110246,5.710245,8.354413
20231222T0000,9.5602455,8.090245,8.881078
20231223T0000,8.760245,7.880245,8.191078
20231224T0000,11.370245,8.390245,9.715662
20231225T0000,11.130245,5.7202454,8.850661
20231226T0000,9.840245,3.0002456,6.942745
20231227T0000,9.940246,1.7202454,4.558579
20231228T0000,9.680245,4.5702453,7.2819123
20231229T0000,12.440246,8.050245,10.102746
20231230T0000,12.000245,4.1002455,7.9810777
20231231T0000,7.880245,4.0102453,5.6056614
20240101T0000,8.290245,5.110245,6.5073285
20240102T0000,11.170245,6.1602454,9.208163
20240103T0000,12.360246,9.540245,10.898579
20240104T0000,9.940246,3.9602456,7.7794113
20240105T0000,8.280246,4.150245,6.1723275
20240106T0000,6.2602453,4.5802455,5.303162
20240107T0000,4.7402453,0.080245405,3.2960787
20240108T0000,-0.2697546,-1.1897546,-0.833088
20240109T0000,-1.1997546,-2.9897547,-2.391421
20240110T0000,0.9502454,-3.3897548,-1.9922546
20240111T0000,-0.8197546,-5.0697546,-3.4414215
20240112T0000,-2.0997548,-6.4697547,-4.473922
20240113T0000,-1.8897547,-7.269755,-4.597255
20240114T0000,0.1202454,-6.6597548,-3.228921
20240115T0000,2.1202455,-2.8997545,-0.08767126
20240116T0000,1.8202454,-6.9097548,-2.7897549
20240117T0000,10.930245,-0.6697546,5.473578
20240118T0000,10.870245,-0.05975461,6.173996
20240119T0000,1.4202454,-4.8597546,-1.4335047
20240120T0000,1.5202454,-6.249755,-3.2676709
20240121T0000,6.3202453,-5.3797545,-0.24642152
20240122T0000,9.470245,0.9402454,6.4802456
20240123T0000,9.610246,6.750245,8.116078
20240124T0000,13.920245,10.160245,12.011077
20240125T0000,12.040245,9.530245,10.5064945
20240126T0000,11.630245,4.7402453,9.178579
20240127T0000,8.490246,0.070245415,3.5131624
20240128T0000,10.730246,0.070245415,3.5714953
20240129T0000,13.180245,1.0802454,5.2364955
20240130T0000,12.020246,1.9802454,6.166495
20240131T0000,12.760245,2.1402454,6.827745
20240201T0000,10.010245,6.5102453,8.609412
20240202T0000,11.200245,4.7002454,7.150661
20240203T0000,9.630245,3.3002453,5.885662
20240204T0000,9.390245,5.1602454,6.618995
20240205T0000,10.450245,3.1602454,6.0527444
20240206T0000,8.370246,2.4702454,5.510662
20240207T0000,11.470245,6.6002455,8.957328
20240208T0000,13.8102455,9.610246,10.885661
20240209T0000,13.120245,8.680245,10.560245
20240210T0000,11.960245,7.7002454,9.378996
20240211T0000,9.870245,6.020245,7.8727455
20240212T0000,9.710245,4.9502454,7.569828
20240213T0000,11.480246,2.3402452,6.1064954
20240214T0000,13.520246,3.7902455,8.89858
20240215T0000,14.670245,4.7202454,8.995245
20240216T0000,13.940246,8.430245,10.938161
20240217T0000,11.600245,8.420245,10.246913
20240218T0000,11.990245,5.5702453,8.655245
20240219T0000,11.860246,8.830245,9.876078
20240220T0000,11.260245,3.4602456,8.059829
20240221T0000,12.220245,2.0802455,7.946079
20240222T0000,12.930245,7.4702454,10.792328
20240223T0000,10.040245,3.6102452,6.6252446
20240224T0000,9.000245,1.5902454,5.271912
20240225T0000,11.960245,1.1002455,6.3477454
20240226T0000,13.030245,5.6002455,8.453578
20240227T0000,10.820246,4.6402454,7.9377446
20240228T0000,10.710245,5.3502455,7.595661
20240229T0000,11.520246,3.0502453,6.1656613
20240301T0000,9.8102455,3.8802452,6.738996
20240302T0000,14.030245,2.9002452,7.9798293
20240303T0000,13.3102455,5.3002453,8.773995
20240304T0000,9.230246,6.3102455,7.5381618
20240305T0000,10.090245,6.4302454,7.7194123
20240306T0000,8.610246,5.380245,6.4306626
20240307T0000,8.670245,1.3002454,6.102328
20240308T0000,11.390245,0.11024541,5.3460784
20240309T0000,14.510245,2.5702453,8.920245
20240310T0000,10.320246,5.3902454,7.9760776
20240311T0000,12.8102455,2.7002454,7.190661
20240312T0000,9.730246,5.1002455,7.6981616
20240313T0000,13.050245,6.8502455,9.663579
20240314T0000,17.930244,4.940245,10.342746
20240315T0000,16.410246,8.650246,12.148995
20240316T0000,14.040245,7.460245,11.067744
20240317T0000,13.160245,5.6802454,9.631495
20240318T0000,14.390245,8.780245,10.781911
20240319T0000,16.570246,6.360245,10.641496
20240320T0000,19.460245,3.9702454,11.043995
20240321T0000,19.200245,8.600245,13.701913
20240322T0000,20.280245,7.6402454,13.410245
20240323T0000,12.450245,5.110245,9.002745
20240324T0000,8.940246,4.5902452,6.3781624
20240325T0000,13.120245,1.5102453,7.39733
20240326T0000,17.270245,5.2402453,11.118579
20240327T0000,9.5602455,2.7902455,6.510662
20240328T0000,12.710245,2.0402455,7.1256623
20240329T0000,18.210245,5.6602454,11.279412
20240330T0000,15.070246,9.200245,11.478995
20240331T0000,16.770245,6.750245,11.369412
20240401T0000,12.070246,7.7402453,9.654412
20240402T0000,13.840245,5.020245,9.620662
20240403T0000,13.090245,4.9102454,10.098161
20240404T0000,17.130245,11.710245,13.878579
20240405T0000,22.950245,9.550245,16.145664
20240406T0000,27.600245,9.480246,17.607328
20240407T0000,24.370245,12.800245,17.98066
20240408T0000,25.740246,11.720245,18.813578
20240409T0000,18.450245,6.440245,10.995663
20240410T0000,12.630245,4.4502454,8.426079
20240411T0000,17.810246,3.5602455,10.717328
20240412T0000,21.860245,4.0702453,13.620664
20240413T0000,26.440245,6.960245,16.597328
20240414T0000,26.510244,10.800245,18.558994
20240415T0000,18.920246,7.860245,15.278163
20240416T0000,10.550245,5.940245,7.7064953
20240417T0000,9.500245,4.2502456,6.426495
20240418T0000,9.010245,3.1102452,5.751079
20240419T0000,7.8402452,3.0902452,6.106495
20240420T0000,8.990245,4.2102456,6.278162
20240421T0000,6.2402453,2.1902454,4.4952445
20240422T0000,7.170245,2.4402454,4.758579
20240423T0000,9.270246,1.4302454,5.3806624
20240424T0000,6.9902453,0.9502454,4.6023283
20240425T0000,10.530245,2.6802454,6.116913
20240426T0000,12.680245,3.5202456,8.134829
20240427T0000,21.010244,5.040245,13.171496
20240428T0000,13.910245,9.460245,11.730245
20240429T0000,19.470245,8.740245,13.601911
20240430T0000,24.240246,8.070246,16.253578
20240501T0000,26.180244,9.640245,17.794413
20240502T0000,15.870245,10.580245,13.148994
20240503T0000,14.550245,7.3102455,11.380662
20240504T0000,18.730246,6.150245,13.466077
20240505T0000,20.660246,13.020246,16.106497
20240506T0000,14.630245,11.350245,13.389412
20240507T0000,15.370245,10.210245,12.792745
20240508T0000,16.810246,10.460245,13.4648285
20240509T0000,20.010244,8.890245,14.256496
20240510T0000,23.770245,6.3202453,15.708161
20240511T0000,25.480246,7.730245,17.360243
20240512T0000,25.630245,11.000245,18.448578
20240513T0000,23.810246,13.400246,18.388992
20240514T0000,25.080246,11.090245,17.892744
20240515T0000,17.900246,11.920245,14.775664
20240516T0000,16.620245,10.750245,13.292745
20240517T0000,16.490246,9.400246,13.143994
20240518T0000,20.850245,7.3502455,14.024411
20240519T0000,21.380245,9.900246,15.433995
20240520T0000,23.770245,9.580245,17.283579
20240521T0000,19.080246,13.0602455,15.403161
20240522T0000,18.940245,11.800245,15.543579
20240523T0000,16.640245,10.020246,13.523997
20240524T0000,17.450245,9.550245,14.025661
20240525T0000,21.090246,8.200246,14.853996
20240526T0000,22.000246,9.420245,16.477327
20240527T0000,20.430244,13.440246,16.723997
20240528T0000,21.110245,11.190246,16.11358
20240529T0000,17.010244,11.190246,14.545662
20240530T0000,17.980246,12.160245,15.348163
20240531T0000,15.960245,11.290245,13.251494
20240601T0000,17.880245,12.230246,14.92233
20240602T0000,,,
20240603T0000,,,
20240604T0000,,,
20240605T0000,,,
20240606T0000,,,
20240607T0000,,,
20240608T0000,,,
20240609T0000,,,
